aahed,FALSE
aalii,FALSE
aargh,FALSE
aarti,FALSE
abaca,FALSE
abaci,FALSE
aback,TRUE
abacs,FALSE
abaft,FALSE
abaka,FALSE
abamp,FALSE
aband,FALSE
abase,TRUE
abash,TRUE
abask,FALSE
abate,TRUE
abaya,FALSE
abbas,FALSE
abbed,FALSE
abbes,FALSE
abbey,TRUE
abbot,TRUE
abcee,FALSE
abeam,FALSE
abear,FALSE
abele,FALSE
abers,FALSE
abets,TRUE
abhor,TRUE
abide,TRUE
abies,FALSE
abled,FALSE
abler,FALSE
ables,FALSE
ablet,FALSE
ablow,FALSE
abmho,FALSE
abode,TRUE
abohm,FALSE
aboil,FALSE
aboma,FALSE
aboon,FALSE
abord,FALSE
abore,FALSE
abort,TRUE
about,TRUE
above,TRUE
abram,FALSE
abray,FALSE
abrim,FALSE
abrin,FALSE
abris,FALSE
absey,FALSE
absit,FALSE
abuna,FALSE
abune,FALSE
abuse,TRUE
abuts,TRUE
abuzz,FALSE
abyes,FALSE
abysm,FALSE
abyss,TRUE
acais,FALSE
acari,FALSE
accas,FALSE
accoy,FALSE
acerb,FALSE
acers,FALSE
aceta,FALSE
achar,FALSE
ached,TRUE
aches,TRUE
achoo,FALSE
acids,TRUE
acidy,FALSE
acing,TRUE
acini,FALSE
ackee,FALSE
acker,FALSE
acmes,FALSE
acmic,FALSE
acned,FALSE
acnes,FALSE
acock,FALSE
acold,FALSE
acorn,TRUE
acred,FALSE
acres,TRUE
acrid,TRUE
acros,FALSE
acted,TRUE
actin,FALSE
acton,FALSE
actor,TRUE
acute,TRUE
acyls,FALSE
adage,TRUE
adapt,TRUE
adaws,FALSE
adays,FALSE
adbot,FALSE
addax,FALSE
added,TRUE
adder,TRUE
addio,FALSE
addle,TRUE
adeem,TRUE
adept,TRUE
adhan,FALSE
adieu,TRUE
adios,TRUE
adits,FALSE
adman,FALSE
admen,FALSE
admin,FALSE
admit,TRUE
admix,FALSE
adobe,TRUE
adobo,FALSE
adopt,TRUE
adore,TRUE
adorn,TRUE
adown,FALSE
adoze,FALSE
adrad,FALSE
adred,FALSE
adsum,FALSE
aduki,FALSE
adult,TRUE
adunc,FALSE
adust,FALSE
advew,FALSE
adyta,FALSE
adzed,FALSE
adzes,FALSE
aecia,FALSE
aedes,FALSE
aegis,TRUE
aeons,FALSE
aerie,FALSE
aeros,FALSE
aesir,FALSE
afald,FALSE
afara,FALSE
afars,FALSE
afear,FALSE
affix,TRUE
afire,FALSE
aflaj,FALSE
afoot,TRUE
afore,FALSE
afoul,TRUE
afrit,FALSE
afros,FALSE
after,TRUE
again,TRUE
agama,FALSE
agami,FALSE
agape,TRUE
agars,FALSE
agast,FALSE
agate,TRUE
agave,FALSE
agaze,FALSE
agene,FALSE
agent,TRUE
agers,FALSE
agger,FALSE
aggie,FALSE
aggri,FALSE
aggro,FALSE
aggry,FALSE
aghas,FALSE
agila,FALSE
agile,TRUE
aging,TRUE
agios,TRUE
agism,FALSE
agist,TRUE
agita,FALSE
aglee,FALSE
aglet,FALSE
agley,FALSE
agloo,FALSE
aglow,TRUE
aglus,FALSE
agmas,FALSE
agoge,FALSE
agone,FALSE
agons,FALSE
agony,TRUE
agood,FALSE
agora,FALSE
agree,TRUE
agria,FALSE
agrin,FALSE
agros,FALSE
agued,FALSE
agues,FALSE
aguna,FALSE
aguti,FALSE
ahead,TRUE
aheap,FALSE
ahent,FALSE
ahigh,FALSE
ahind,FALSE
ahing,FALSE
ahint,FALSE
ahold,FALSE
ahull,FALSE
ahuru,FALSE
aidas,FALSE
aided,TRUE
aider,TRUE
aides,TRUE
aidoi,FALSE
aidos,FALSE
aiery,FALSE
aigas,FALSE
aight,FALSE
ailed,TRUE
aimed,TRUE
aimer,FALSE
ainee,FALSE
ainga,FALSE
aioli,FALSE
aired,TRUE
airer,FALSE
airns,FALSE
airth,FALSE
airts,FALSE
aisle,TRUE
aitch,FALSE
aitus,FALSE
aiver,FALSE
aiyee,FALSE
aizle,FALSE
ajies,FALSE
ajiva,FALSE
ajuga,FALSE
ajwan,FALSE
akees,FALSE
akela,FALSE
akene,FALSE
aking,FALSE
akita,FALSE
akkas,FALSE
alaap,FALSE
alack,FALSE
alamo,TRUE
aland,FALSE
alane,FALSE
alang,FALSE
alans,FALSE
alant,FALSE
alapa,FALSE
alaps,FALSE
alarm,TRUE
alary,FALSE
alate,FALSE
alays,FALSE
albas,FALSE
albee,FALSE
album,TRUE
alcid,FALSE
alcos,FALSE
aldea,FALSE
